id,inid,pid,mod_no,s/n,rate,qty,discount,Amount,tax,tax_amount,owner,Alias
969,13,106,NULL,3E06803PAZ7D590,13000,1,,13000,NULL,NULL,2,false
970,14,105,NULL,,0,5,,0,NULL,NULL,4,false
971,15,105,NULL,,0,5,,0,NULL,NULL,4,false
972,16,105,NULL,,0,5,,0,NULL,NULL,4,false
973,18,105,NULL,,0,5,,0,NULL,NULL,4,false
1012,19,95,NULL,,500,1,,500,NULL,NULL,4,false
1011,19,105,NULL,,0,5,,0,NULL,NULL,4,false
1006,20,37,NULL,,350,7,,2450,NULL,NULL,2,false
1005,21,11,NULL,,2700,1,,2700,NULL,NULL,2,false
1004,21,12,NULL,,2500,1,,2500,NULL,NULL,2,false
1003,21,55,NULL,,75,1,,75,NULL,NULL,2,false
1013,22,34,NULL,,1200,1,,1200,NULL,NULL,2,false
1146,23,133,NULL,,2500,1,,2500,NULL,NULL,2,false
1145,23,34,NULL,,1200,1,,1200,NULL,NULL,2,false
1144,23,134,NULL,,2700,1,,2700,NULL,NULL,2,false
1143,23,40,NULL,,85,25,,2125,NULL,NULL,2,false
1141,23,65,NULL,,2000,1,,2000,NULL,NULL,2,false
1142,23,17,NULL,3L0514APAPC4650,12500,1,,12500,NULL,NULL,2,false
1140,23,27,NULL,,54,4,,216,NULL,NULL,2,false
1139,23,28,NULL,,30,2,,60,NULL,NULL,2,false
1138,23,76,NULL,,360,1,,360,NULL,NULL,2,false
1137,23,55,NULL,,75,2,,150,NULL,NULL,2,false
1125,24,48,NULL,ZGY1PE6Q,9800,1,,9800,NULL,NULL,2,false
1147,25,36,NULL,,2100,1,,2100,NULL,NULL,2,false
2055,26,65,NULL,,1000,1,,1000,NULL,NULL,2,false
2054,26,67,NULL,,2700,2,,5400,NULL,NULL,2,false
2053,26,66,NULL,,9000,2,,18000,NULL,NULL,2,false
2050,27,55,NULL,,100,1,,100,NULL,NULL,2,false
2051,27,28,NULL,,30,1,,30,NULL,NULL,2,false
2049,27,27,NULL,,45,1,,45,NULL,NULL,2,false
2048,27,22,NULL,3D05ECDPAR00342,3000,1,,3000,NULL,NULL,2,false
1209,28,158,NULL,3H05D68PAL06658,2700,1,12%,2376,NULL,NULL,2,false
1208,28,34,NULL,,1350,1,12%,1188,NULL,NULL,2,false
1207,28,158,NULL,3H04EF6PAL02230,2700,1,12%,2376,NULL,NULL,2,false
1206,28,21,NULL,3J080BFPBQBP371,7500,1,12%,6600,NULL,NULL,2,false
1205,28,158,NULL,3H04EF6PAL02712,2700,1,12%,2376,NULL,NULL,2,false
1203,28,65,NULL,,5000,1,12%,4400,NULL,NULL,2,false
1204,28,157,NULL,Z9C50K3K,5400,1,12%,4752,NULL,NULL,2,false
1216,29,160,NULL,,3000,1,,3000,NULL,NULL,2,false
1215,29,159,NULL,,3000,1,,3000,NULL,NULL,2,false
1217,30,162,NULL,,800,1,,800,NULL,NULL,2,false
1643,31,27,NULL,,35,28,,980,NULL,NULL,2,false
1642,31,166,NULL,PI3L02E0CPAZ00038,22500,1,,22500,NULL,NULL,2,false
1641,31,166,NULL,PI3L02E0CPAZ00030,22500,1,,22500,NULL,NULL,2,false
1640,31,164,NULL,HP  06L16110732,2300,1,,2300,NULL,NULL,2,false
1639,31,164,NULL,HPN206L16110573,2300,1,,2300,NULL,NULL,2,false
1638,31,164,NULL,HPN   L16110590,2300,1,,2300,NULL,NULL,2,false
1637,31,164,NULL,HP  06 16110596,2300,1,,2300,NULL,NULL,2,false
1636,31,164,NULL,HPN206L16110597,2300,1,,2300,NULL,NULL,2,false
1635,31,164,NULL,HP 2 6L 6110598,2300,1,,2300,NULL,NULL,2,false
1634,31,164,NULL,H   06 16110578,2300,1,,2300,NULL,NULL,2,false
1633,31,165,NULL,HPN203CL171206163,1600,1,,1600,NULL,NULL,2,false
1632,31,165,NULL,HPN  3CL171206160,1600,1,,1600,NULL,NULL,2,false
1631,31,165,NULL,HP 2 3CL171206170,1600,1,,1600,NULL,NULL,2,false
1630,31,37,NULL,,350,25,,8750,NULL,NULL,2,false
1629,31,168,NULL,,7750,1,,7750,NULL,NULL,2,false
1628,31,169,NULL,,20000,1,,20000,NULL,NULL,2,false
1626,31,28,NULL,,45,60,,2700,NULL,NULL,2,false
1627,31,136,NULL,,65,600,,39000,NULL,NULL,2,false
1625,31,163,NULL,H   0  L171208550,1550,1,,1550,NULL,NULL,2,false
1624,31,163,NULL,H   0  L171208545,1550,1,,1550,NULL,NULL,2,false
1623,31,163,NULL,HFN203CL171208558,1550,1,,1550,NULL,NULL,2,false
1622,31,163,NULL,HFN  3CL171208549,1550,1,,1550,NULL,NULL,2,false
1621,31,163,NULL,HFN203CL171208566,1550,1,,1550,NULL,NULL,2,false
1620,31,163,NULL,H   0  L171208547,1550,1,,1550,NULL,NULL,2,false
1984,32,66,NULL,,9000,1,,9000,NULL,NULL,2,false
1983,32,170,NULL,,2700,1,,2700,NULL,NULL,2,false
1982,32,65,NULL,,1000,1,,1000,NULL,NULL,2,false
2075,33,173,NULL,,50000,1,,50000,NULL,NULL,4,false
1985,34,174,NULL,ST48F089224OY,1000,1,,1000,NULL,NULL,2,false
2008,35,42,NULL,,14750,0,,0,NULL,NULL,2,false
2007,35,186,NULL,,2,0,,0,NULL,NULL,2,false
2006,35,185,NULL,,2,0,,0,NULL,NULL,2,false
2005,35,184,NULL,,2,0,,0,NULL,NULL,2,false
2004,35,183,NULL,,2,0,,0,NULL,NULL,2,false
2003,35,182,NULL,,2,0,,0,NULL,NULL,2,false
2002,35,181,NULL,,1,0,,0,NULL,NULL,2,false
2001,35,180,NULL,,1,0,,0,NULL,NULL,2,false
2000,35,179,NULL,,3,0,,0,NULL,NULL,2,false
1999,35,178,NULL,,7,0,,0,NULL,NULL,2,false
1998,35,177,NULL,,10,0,,0,NULL,NULL,2,false
1997,35,42,NULL,,14750,1,,14750,NULL,NULL,2,false
1996,35,177,NULL,,0,10,,0,NULL,NULL,2,false
1995,35,178,NULL,,0,7,,0,NULL,NULL,2,false
1994,35,179,NULL,,0,3,,0,NULL,NULL,2,false
1993,35,180,NULL,,0,1,,0,NULL,NULL,2,false
1992,35,180,NULL,,0,1,,0,NULL,NULL,2,false
1991,35,181,NULL,,0,1,,0,NULL,NULL,2,false
1990,35,182,NULL,,0,2,,0,NULL,NULL,2,false
1989,35,183,NULL,,0,2,,0,NULL,NULL,2,false
1988,35,184,NULL,,0,2,,0,NULL,NULL,2,false
1987,35,185,NULL,,0,2,,0,NULL,NULL,2,false
2074,36,186,NULL,,0,2,,0,NULL,NULL,2,false
2073,36,185,NULL,,0,2,,0,NULL,NULL,2,false
2072,36,184,NULL,,0,2,,0,NULL,NULL,2,false
2071,36,183,NULL,,0,2,,0,NULL,NULL,2,false
2070,36,182,NULL,,0,2,,0,NULL,NULL,2,false
2069,36,181,NULL,,0,1,,0,NULL,NULL,2,false
2068,36,180,NULL,,0,1,,0,NULL,NULL,2,false
2067,36,179,NULL,,0,3,,0,NULL,NULL,2,false
2066,36,178,NULL,,0,7,,0,NULL,NULL,2,false
2065,36,177,NULL,,0,10,,0,NULL,NULL,2,false
2064,36,42,NULL,,14750,1,,14750,NULL,NULL,2,false
1986,35,186,NULL,,0,2,,0,NULL,NULL,2,false
2028,42,37,NULL,,350,1,,350,NULL,NULL,2,false
2013,37,195,NULL,VAC1710095I1013,2800,1,5%,2660,NULL,NULL,2,false
2014,37,195,NULL,VAC1710095I1017,2800,1,5%,2660,NULL,NULL,2,false
2012,37,195,NULL,VAC1710095I2768,2800,1,5%,2660,NULL,NULL,2,false
2011,37,187,NULL,,500,4,5%,1900,NULL,NULL,2,false
2010,37,28,NULL,,45,4,,180,NULL,NULL,2,false
2009,37,27,NULL,,35,4,,140,NULL,NULL,2,false
2016,38,74,NULL,,500,1,,500,NULL,NULL,2,false
2021,39,209,NULL,,0,1,,0,NULL,NULL,2,false
2020,39,203,NULL,,0,4,,0,NULL,NULL,2,false
2019,39,208,NULL,,0,2,,0,NULL,NULL,2,false
2018,39,207,NULL,,0,2,,0,NULL,NULL,2,false
2017,39,189,NULL,,0,30,,0,NULL,NULL,2,false
2026,40,189,NULL,,0,30,,0,NULL,NULL,2,false
2025,40,207,NULL,,0,2,,0,NULL,NULL,2,false
2024,40,208,NULL,,0,2,,0,NULL,NULL,2,false
2023,40,203,NULL,,0,4,,0,NULL,NULL,2,false
2022,40,209,NULL,,0,1,,0,NULL,NULL,2,false
2027,41,210,NULL,,2500,1,12%,2200,NULL,NULL,2,false
2029,43,36,NULL,,2100,1,,2100,NULL,NULL,2,false
2033,44,28,NULL,,35,2,,70,NULL,NULL,2,false
2032,44,133,NULL,VA  71 095A086938,2500,1,,2500,NULL,NULL,2,false
2031,44,133,NULL,VAC  10 95A085530,2500,1,,2500,NULL,NULL,2,false
2030,44,27,NULL,,45,2,,90,NULL,NULL,2,false
2035,45,36,NULL,,2350,1,,2350,NULL,NULL,2,false
2036,46,36,NULL,,2250,3,,6750,NULL,NULL,2,false
2045,47,21,NULL,3J080BFPBQ0X70R,7000,1,10%,6300,NULL,NULL,2,false
2044,47,201,NULL,3E04942PAG07156,2500,1,10%,2250,NULL,NULL,2,false
2043,47,27,NULL,,45,4,,180,NULL,NULL,2,false
2042,47,197,NULL,,3900,1,10%,3510,NULL,NULL,2,false
