id,pid,tax_id,Owner,created,created_by,modified,modified_by
236,55,2,2,2018-02-21 13:02:52,2,NULL,NULL
383,133,2,2,2018-10-09 13:10:00,2,NULL,NULL
173,134,2,2,2018-01-29 14:01:46,2,NULL,NULL
185,135,2,2,2018-02-10 13:02:11,2,NULL,NULL
294,136,2,2,2018-04-03 12:04:41,2,NULL,NULL
196,138,2,2,2018-02-15 15:02:12,2,NULL,NULL
197,139,2,2,2018-02-15 15:02:41,2,NULL,NULL
188,140,2,2,2018-02-14 13:02:41,2,NULL,NULL
201,146,2,2,2018-02-16 17:02:52,2,NULL,NULL
260,149,2,2,2018-02-21 14:02:33,2,NULL,NULL
209,143,2,2,2018-02-16 17:02:52,2,NULL,NULL
204,144,2,2,2018-02-16 17:02:11,2,NULL,NULL
205,142,2,2,2018-02-16 17:02:38,2,NULL,NULL
252,147,2,2,2018-02-21 14:02:55,2,NULL,NULL
253,148,2,2,2018-02-21 14:02:03,2,NULL,NULL
217,150,2,2,2018-02-20 16:02:57,2,NULL,NULL
257,44,0,2,2018-02-21 14:02:12,2,NULL,NULL
261,151,2,2,2018-02-22 11:02:33,2,NULL,NULL
265,152,2,2,2018-03-15 13:03:44,2,NULL,NULL
264,153,2,2,2018-03-15 13:03:18,2,NULL,NULL
267,154,2,2,2018-03-15 13:03:22,2,NULL,NULL
269,155,3,2,2018-03-15 13:03:46,2,NULL,NULL
270,157,2,2,2018-03-17 15:03:27,2,NULL,NULL
271,158,3,2,2018-03-17 16:03:34,2,NULL,NULL
274,160,2,2,2018-03-26 12:03:42,2,NULL,NULL
275,161,2,2,2018-03-26 13:03:18,2,NULL,NULL
276,162,2,2,2018-03-27 14:03:07,2,NULL,NULL
305,163,2,2,2018-04-03 13:04:16,2,NULL,NULL
299,164,2,2,2018-04-03 12:04:47,2,NULL,NULL
300,165,2,2,2018-04-03 12:04:11,2,NULL,NULL
298,166,2,2,2018-04-03 12:04:13,2,NULL,NULL
283,167,2,2,2018-04-02 12:04:27,2,NULL,NULL
303,168,3,2,2018-04-03 13:04:05,2,NULL,NULL
304,169,3,2,2018-04-03 13:04:30,2,NULL,NULL
306,170,3,2,2018-04-06 15:04:36,2,NULL,NULL
307,171,2,2,2018-04-09 14:04:24,2,NULL,NULL
308,172,0,2,2018-04-09 14:04:43,2,NULL,NULL
309,174,2,2,2018-04-14 11:04:18,2,NULL,NULL
310,175,2,2,2018-04-14 16:04:39,2,NULL,NULL
311,176,2,2,2018-04-14 16:04:54,2,NULL,NULL
313,187,2,2,2018-04-21 11:04:32,2,NULL,NULL
314,188,2,2,2018-04-23 11:04:20,2,NULL,NULL
315,194,2,2,2018-04-23 16:04:31,2,NULL,NULL
316,195,2,2,2018-04-25 11:04:55,2,NULL,NULL
317,197,2,2,2018-04-26 12:04:48,2,NULL,NULL
318,198,2,2,2018-04-27 13:04:15,2,NULL,NULL
321,199,2,2,2018-04-27 13:04:19,2,NULL,NULL
322,206,2,2,2018-05-04 12:05:46,2,NULL,NULL
323,210,2,2,2018-05-11 12:05:52,2,NULL,NULL
326,212,2,2,2018-05-28 17:05:24,2,NULL,NULL
325,213,2,2,2018-05-28 17:05:51,2,NULL,NULL
327,214,2,2,2018-05-28 17:05:51,2,NULL,NULL
328,215,2,2,2018-05-31 11:05:46,2,NULL,NULL
330,216,2,2,2018-06-01 14:06:38,2,NULL,NULL
333,201,2,2,2018-06-04 12:06:53,2,NULL,NULL
340,217,2,2,2018-06-08 12:06:56,2,NULL,NULL
341,218,2,2,2018-06-15 13:06:58,2,NULL,NULL
345,220,3,2,2018-08-30 12:08:26,2,NULL,NULL
351,221,2,2,2018-09-17 14:09:45,2,NULL,NULL
358,222,2,2,2018-09-24 13:09:12,2,NULL,NULL
368,223,3,2,2018-09-24 13:09:03,2,NULL,NULL
359,224,2,2,2018-09-24 13:09:21,2,NULL,NULL
356,225,3,2,2018-09-24 13:09:39,2,NULL,NULL
363,226,0,2,2018-09-24 13:09:44,2,NULL,NULL
364,227,0,2,2018-09-24 13:09:45,2,NULL,NULL
365,228,3,2,2018-09-24 13:09:19,2,NULL,NULL
366,229,3,2,2018-09-24 13:09:49,2,NULL,NULL
367,230,3,2,2018-09-24 13:09:00,2,NULL,NULL
376,231,3,2,2018-09-24 13:09:33,2,NULL,NULL
375,232,2,2,2018-09-24 13:09:49,2,NULL,NULL
378,233,2,2,2018-09-24 13:09:51,2,NULL,NULL
380,234,2,2,2018-09-24 13:09:44,2,NULL,NULL
384,235,3,2,2018-10-09 13:10:15,2,NULL,NULL
385,236,2,2,2018-10-31 10:10:08,2,NULL,NULL
