id,Cid,txn_id,date,type,owner,Created,CREATEDE_BY,modified,Modified_by
108,227,MAR/18/TT/664,2018-03-31,inward,2,2018-04-09 14:04:19,2,2018-04-09 14:04:03,2
109,269,1364,2018-03-29,outward,2,2018-04-09 14:04:27,2,2018-04-09 15:04:22,2
110,276,1365,2018-03-29,outward,2,2018-04-09 14:04:31,2,2018-04-09 14:04:50,2
111,280,SI/2/18-19,2018-04-13,inward,2,2018-04-14 11:04:31,2,NULL,NULL
112,175,737,2018-04-14,inward,2,2018-04-14 16:04:10,2,2018-04-14 16:04:33,2
113,275,1366,2018-04-14,outward,2,2018-04-14 16:04:08,2,2018-04-14 16:04:39,2
114,174,SK/2018-19/00302,2018-04-20,inward,2,2018-04-21 11:04:00,2,NULL,NULL
115,192,1368,2018-04-21,outward,2,2018-04-21 11:04:08,2,2018-04-25 11:04:47,2
116,226,KT/216,2018-04-24,inward,2,2018-04-25 11:04:00,2,2018-04-25 11:04:26,2
117,282,1372,2018-04-27,outward,2,2018-04-27 11:04:12,2,2018-04-27 13:04:33,2
118,174,SK/2018-19/00422,2018-04-27,inward,2,2018-04-27 13:04:44,2,2018-04-27 13:04:10,2
119,115,1374,2018-04-28,outward,2,2018-04-28 11:04:34,2,NULL,NULL
120,229,MRP/19-19/677,2018-04-28,inward,2,2018-04-28 14:04:37,2,NULL,NULL
121,227,MAY/18/TT/047,2018-05-04,inward,2,2018-05-04 12:05:39,2,2018-05-04 12:05:22,2
122,229,MRP/18-19/751,2018-05-28,inward,2,2018-05-28 17:05:34,2,2018-06-12 12:06:18,2
123,162,1388,2018-05-29,outward,2,2018-05-29 16:05:47,2,NULL,NULL
124,285,UNI\18-19\024,2018-05-28,inward,2,2018-05-31 11:05:30,2,NULL,NULL
125,162,1389,2018-05-31,outward,2,2018-05-31 12:05:15,2,NULL,NULL
126,287,SAPL/MFG/G/428,2017-06-28,inward,2,2018-06-01 15:06:50,2,2018-06-01 15:06:34,2
127,269,1391,2018-06-01,outward,2,2018-06-01 15:06:56,2,2018-06-12 11:06:02,2
128,192,1393,2018-06-04,outward,2,2018-06-04 11:06:59,2,2018-06-04 11:06:24,2
129,288,1394,2018-06-04,outward,2,2018-06-04 12:06:50,2,2018-06-05 10:06:37,2
130,226,KT/666,2018-06-04,inward,2,2018-06-04 15:06:55,2,NULL,NULL
131,229,MRE/18-19/765,2018-06-06,inward,2,2018-06-12 12:06:56,2,NULL,NULL
132,174,SK/2018-19/01851,2018-07-24,inward,2,2018-07-25 11:07:06,2,NULL,NULL
133,291,555433,2018-07-27,outward,6,2018-07-27 23:07:23,6,NULL,NULL
134,131,1426,2018-08-30,outward,2,2018-08-30 12:08:37,2,NULL,NULL
135,174,123,2018-09-17,inward,2,2018-09-17 13:09:06,2,NULL,NULL
136,115,1433,2018-09-17,outward,2,2018-09-17 15:09:20,2,NULL,NULL
137,275,1434,2018-09-17,outward,2,2018-09-17 15:09:50,2,NULL,NULL
138,283,1436,2018-09-22,outward,2,2018-09-22 11:09:31,2,NULL,NULL
139,226,KT/2319,2018-10-30,inward,2,2018-10-30 16:10:59,2,NULL,NULL
140,298,1932Oct1819,2018-10-30,inward,2,2018-10-30 16:10:00,2,NULL,NULL
