id,inid,in_details_id,tax_id,t_name,t_percent,t_amount
3151,31,1620,6,CGST 9%,9,139.5
3150,31,1620,7,SGST9%,9,139.5
3196,31,1643,7,SGST9%,9,88.2
3197,31,1643,6,CGST 9%,9,88.2
3563,32,1984,6,CGST 9%,9,810
3562,32,1984,7,SGST9%,9,810
3561,32,1983,7,SGST9%,9,243
3560,32,1983,6,CGST 9%,9,243
3559,32,1982,6,CGST 9%,9,90
3558,32,1982,7,SGST9%,9,90
3565,34,1985,6,CGST 9%,9,90
3564,34,1985,7,SGST9%,9,90
3569,35,2008,6,CGST 9%,9,0
3567,35,1997,6,CGST 9%,9,1327.5
3568,35,2008,7,SGST9%,9,0
3566,35,1997,7,SGST9%,9,1327.5
